station_name,station_id,state
Green Cape Lighthouse,69055,NSW
Grenfell (Manganese Rd),73014,NSW
Griffith Airport Aws,75041,NSW
Griffith Csiro,75028,NSW
Griffith Csiro,75174,NSW
Gudgenby,70172,NSW
Gulgong Post Office,62013,NSW
Gundagai (Nangus Rd),73141,NSW
Gundagai Otway St,73125,NSW
Gundagai Ridge Street,73128,NSW
Gunnedah Airport Aws,55202,NSW
Gunnedah Pool,55023,NSW
Gunnedah Resource Centre,55024,NSW
Gurnang State Forest (Oberon (Young Adul,63033,NSW
Guthega Power Station,71034,NSW
Guyra Hospital,56229,NSW
Guyra Post Office,56016,NSW
Harden (East St),73016,NSW
Harrington (Oxley Anchorage Caravan Park,60023,NSW
Harwood Island (Harwood Sugar Mill),58027,NSW
Hay (Miller Street),75031,NSW
Hay Csiro Aws,75175,NSW
Hillston Airport,75032,NSW
Holdsworthy Air Cavalry,66154,NSW
Holsworthy Control Range,67117,NSW
Honeysuckle Creek,70241,NSW
Horsley Park Equestrian Centre Aws,67119,NSW
Hume Reservoir,72023,NSW
Inverell (Raglan St),56242,NSW
Inverell Comparison,56017,NSW
Inverell Research Centre,56018,NSW
Island Bend,71031,NSW
Ivanhoe Aerodrome Aws,49000,NSW
Ivanhoe Post Office,49019,NSW
Jeogla (Jeolga Old.Sf.Site),57017,NSW
Jerrys Plains Post Office,61086,NSW
Jervis Bay (Point Perpendicular Aws),68151,NSW
Jervis Bay (Point Perpendicular Lighthou,68034,NSW
Junee Treatment Works,73019,NSW
Katoomba (Farnells Rd),63039,NSW
Kempsey (Wide Street),59017,NSW
Kempsey Airport Aws,59007,NSW
Kendall Forestry,60039,NSW
Khancoban Aws,72162,NSW
Khancoban Smhea,72060,NSW
Kiama Bowling Club,68038,NSW
Kiandra Chalet,71010,NSW
Kings Tablelands,63040,NSW
Kioloa (London Foundation),69126,NSW
Kirkconnell Prison Camp,63111,NSW
Kulnura (William Road),61029,NSW
Lake Cargelligo Airport,75039,NSW
Lake Victoria Storage,47016,NSW
Laurel Hill Prison Camp,72090,NSW
Leeton Caravan Park,74062,NSW
Lidsdale State Forest,63046,NSW
Lightning Ridge Visitor Information Cent,48243,NSW
Lismore (Centre Street),58037,NSW
Lismore Airport Aws,58214,NSW
Lithgow (Birdwood St),63224,NSW
Lithgow (Cooerwull),63226,NSW
Lithgow (Newnes Forest Centre),63062,NSW
Liverpool (Michael Wenden Centre),67020,NSW
Liverpool(Whitlam Centre),67035,NSW
Lostock Dam,61288,NSW
Lucas Heights (Ansto),66078,NSW
Macquarie Park (Willandra Village),66156,NSW
Maitland Visitors Centre,61388,NSW
Maitland West Aero,61259,NSW
Mangrove Mountain Aws,61375,NSW
Maryville,61223,NSW
Mathoura State Forest,74069,NSW
Menindee Post Office,47019,NSW
Merimbula Airport Aws,69147,NSW
Merimbula Airport Comparison,69093,NSW
Merriwa (Roscommon),61287,NSW
Millthorpe (Inala),63053,NSW
Minto (Alderney Street),68220,NSW
Moira State Forest,74077,NSW
Molong (Hill St),65023,NSW
Moorland (Coopernook State Forest),60006,NSW
Moree Aero,53115,NSW
Moree Comparison,53048,NSW
